<BOS>	JJ	0.004082105324107583
JJ	NN	0.4236357765579593
NN	NN	0.16897106109324758
NN	-LRB-	0.02652733118971061
-LRB-	NN	0.23035230352303523
NN	-RRB-	0.02508038585209003
-RRB-	VBZ	0.04878048780487805
VBZ	DT	0.24807903402854006
DT	NN	0.5120500782472613
NN	IN	0.20562700964630226
IN	NN	0.1861437908496732
NN	,	0.10868167202572347
,	JJ	0.0892756878158338
-LRB-	RB	0.06233062330623306
RB	VBN	0.13747954173486088
VBN	NN	0.08943862987630828
-RRB-	,	0.21138211382113822
,	CC	0.15553060078607525
CC	NNS	0.08131655372700872
NNS	VBN	0.026446914526638558
VBN	IN	0.4196003805899144
IN	DT	0.33908496732026144
DT	NNS	0.07918622848200313
NNS	IN	0.21885779992334228
IN	NNS	0.07973856209150326
NNS	CC	0.05596013798390188
CC	JJ	0.1442400774443369
JJ	-LRB-	0.006780755569906361
-LRB-	JJ	0.06775067750677506
JJ	-RRB-	0.0038747174685179204
-RRB-	NNS	0.02168021680216802
NNS	.	0.13491759294748945
<BOS>	RB	0.003387278885961611
RB	,	0.1104746317512275
,	PRP	0.030320044918585063
PRP	VBZ	0.271875
NN	VBG	0.0090032154340836
VBG	JJ	0.1076923076923077
IN	JJ	0.14169934640522877
NN	CC	0.042765273311897105
CC	VBG	0.030009680542110357
NN	.	0.08729903536977492
<BOS>	IN	0.0066298022639761445
NN	VBZ	0.06881028938906752
DT	RB	0.010641627543035994
RB	JJ	0.15057283142389524
JJ	:	0.003551824346141427
:	NN	0.1282051282051282
VBZ	RB	0.15697036223929747
VBN	TO	0.08087535680304472
TO	IN	0.007874015748031496
DT	JJ	0.2375586854460094
IN	PRP	0.01647058823529412
VBZ	TO	0.06037321624588365
TO	VB	0.5669291338582677
VB	JJ	0.12271805273833672
CC	DT	0.11519845111326234
NN	TO	0.032315112540192925
VB	PRP	0.019269776876267748
PRP	.	0.025
<BOS>	NNP	0.0026924524478156393
NNP	NNP	0.3180494905385735
NNP	VBZ	0.03202328966521106
VBZ	JJ	0.10428100987925357
JJ	IN	0.06748466257668712
IN	,	0.0018300653594771241
JJ	TO	0.032612205360025834
TO	,	0.0026246719160104987
,	DT	0.10892756878158338
JJ	NNS	0.27090732967387793
NNS	VBZ	0.014181678804139517
<BOS>	DT	0.008974841492718799
DT	NNP	0.04632237871674491
NNP	IN	0.0487627365356623
IN	NNP	0.05019607843137255
NNP	NNPS	0.012372634643377001
NNPS	VBZ	0.047619047619047616
IN	VBG	0.042352941176470586
VBG	IN	0.1076923076923077
NNP	.	0.039301310043668124
NN	``	0.0022508038585209
``	JJ	0.2634146341463415
NNS	''	0.006515906477577616
''	,	0.16908212560386474
,	NNS	0.03705783267827063
NNS	PRP	0.0038328861632809506
PRP	IN	0.053125
IN	``	0.012026143790849673
``	DT	0.05365853658536585
DT	JJS	0.007511737089201878
JJS	VBG	0.016666666666666666
VBG	NN	0.14358974358974358
NN	VBD	0.013987138263665594
VBD	RB	0.08947368421052632
RB	TO	0.01718494271685761
TO	DT	0.18241469816272965
CC	NN	0.19167473378509198
NN	NNS	0.07636655948553055
''	-LRB-	0.043478260869565216
-LRB-	NNP	0.11653116531165311
NNP	-LRB-	0.024017467248908297
NNP	-RRB-	0.026200873362445413
-RRB-	-RRB-	0.005420054200542005
-RRB-	NNP	0.016260162601626018
NNP	NNS	0.03566229985443959
NNS	VBP	0.10578765810655423
VBP	VBN	0.19585987261146498
,	RB	0.06400898371701291
<BOS>	NN	0.003705741003445181
JJ	JJ	0.06942202131094607
NNS	,	0.1395170563434266
,	VBG	0.04435710275126333
VBG	NNS	0.12136752136752137
,	NN	0.1111734980348119
NNS	RB	0.025680337293982367
NNP	,	0.1470160116448326
,	VBP	0.0072992700729927005
VBP	DT	0.13535031847133758
NN	WRB	0.002572347266881029
WRB	JJ	0.17054263565891473
IN	CD	0.038431372549019606
CD	,	0.09788359788359788
,	NNP	0.0965749578888265
NNP	VBD	0.04002911208151383
VBD	PRP$	0.013157894736842105
PRP$	JJ	0.21428571428571427
``	NNP	0.08292682926829269
NNP	CC	0.05240174672489083
CC	NNP	0.07066795740561471
NNP	''	0.010917030567685589
''	WDT	0.024154589371980676
WDT	VBD	0.13588850174216027
VBD	WP	0.002631578947368421
WP	VBZ	0.24489795918367346
VBN	DT	0.03425309229305423
NNP	NN	0.11353711790393013
VBZ	IN	0.0867178924259056
VB	DT	0.2484787018255578
RB	RB	0.07119476268412439
RB	IN	0.11456628477905073
VB	RB	0.04665314401622718
RB	:	0.004909983633387889
:	IN	0.09230769230769231
NN	RB	0.012540192926045015
CD	VBD	0.005291005291005291
IN	JJR	0.0044444444444444444
JJR	IN	0.15454545454545454
CD	JJ	0.06084656084656084
