Natural	JJ	0.6923076923076923
language	NN	1.0
processing	NN	0.9259259259259259
-LRB-	-LRB-	1.0
NLP	NN	0.6382978723404256
-RRB-	-RRB-	1.0
is	VBZ	1.0
a	DT	1.0
field	NN	1.0
of	IN	1.0
computer	NN	1.0
science	NN	1.0
,	,	1.0
artificial	JJ	1.0
intelligence	NN	1.0
also	RB	1.0
called	VBN	0.8333333333333334
machine	NN	1.0
learning	NN	0.7674418604651163
and	CC	1.0
linguistics	NNS	0.95
concerned	VBN	1.0
with	IN	1.0
the	DT	1.0
interactions	NNS	1.0
between	IN	1.0
computers	NNS	1.0
human	JJ	0.9565217391304348
natural	JJ	1.0
languages	NNS	1.0
.	.	1.0
Specifically	RB	1.0
it	PRP	1.0
process	NN	0.9166666666666666
extracting	VBG	1.0
meaningful	JJ	1.0
information	NN	1.0
from	IN	1.0
input	NN	1.0
and\/or	CC	1.0
producing	VBG	1.0
output	NN	1.0
In	IN	1.0
theory	NN	1.0
very	RB	1.0
attractive	JJ	1.0
method	NN	1.0
--	:	1.0
interaction	NN	1.0
understanding	NN	0.8787878787878788
sometimes	RB	1.0
referred	VBN	1.0
to	TO	1.0
as	IN	0.9094076655052264
an	DT	1.0
AI-complete	JJ	1.0
problem	NN	1.0
because	IN	1.0
seems	VBZ	1.0
require	VB	0.5454545454545454
extensive	JJ	1.0
knowledge	NN	1.0
about	IN	0.975
outside	JJ	0.5
world	NN	1.0
ability	NN	1.0
manipulate	VB	1.0
Whether	NNP	0.5
NLP	NNP	0.3617021276595745
distinct	JJ	1.0
or	CC	1.0
identical	JJ	1.0
computational	JJ	1.0
matter	NN	1.0
perspective	NN	1.0
The	DT	0.9947916666666666
Association	NNP	1.0
for	IN	1.0
Computational	NNP	0.6666666666666666
Linguistics	NNPS	0.3333333333333333
defines	VBZ	1.0
latter	JJ	1.0
focusing	VBG	1.0
on	IN	0.9716981132075472
theoretical	JJ	1.0
aspects	NNS	1.0
On	IN	1.0
other	JJ	1.0
hand	NN	1.0
open-access	JJ	1.0
journal	NN	1.0
``	``	1.0
Computational	JJ	0.3333333333333333
Linguistics	NNS	0.3333333333333333
''	''	1.0
styles	NNS	1.0
itself	PRP	1.0
longest	JJS	1.0
running	VBG	1.0
publication	NN	1.0
devoted	VBD	0.2
exclusively	RB	1.0
design	NN	0.75
analysis	NN	1.0
systems	NNS	1.0
Linguistics	NNP	0.3333333333333333
Journal	NNP	1.0
Modern	NNP	1.0
algorithms	NNS	1.0
are	VBP	1.0
grounded	VBN	1.0
in	IN	0.99812734082397
especially	RB	1.0
statistical	JJ	1.0
Research	NN	0.25
into	IN	1.0
modern	JJ	1.0
requires	VBZ	1.0
number	NN	1.0
disparate	JJ	1.0
fields	NNS	1.0
including	VBG	1.0
statistics	NNS	1.0
For	IN	1.0
discussion	NN	1.0
types	NNS	1.0
currently	RB	1.0
used	VBN	0.9203539823008849
